country;iso_code;income_status;continent;subcontinent;mig_rate;edu_exp;youth_unempl_rate
Syria;SYR;L;Asia;Western Asia;27.1;.;35.8
British Virgin Islands;VGB;H;Americas;Latin America and the Caribbean;15.5;2.5;.
Luxembourg;LUX;H;Europe;Western Europe;13.3;3.6;14.2
Cayman Islands;CYM;H;Americas;Latin America and the Caribbean;13;.;13.8
Singapore;SGP;H;Asia;South-eastern Asia;11.8;2.9;9.1
Anguilla;AIA;.;Americas;Latin America and the Caribbean;11.1;.;.
Bahrain;BHR;H;Asia;Western Asia;10.6;2.3;5.3
Turks and Caicos Islands;TCA;H;Americas;Latin America and the Caribbean;8.9;2.9;.
Aruba;ABW;H;Americas;Latin America and the Caribbean;8.4;5.5;.
Monaco;MCO;H;Europe;Western Europe;8.3;1.5;26.6
Australia;AUS;H;Oceania;Australia and New Zealand;8.1;5.1;11.8
New Zealand;NZL;H;Oceania;Australia and New Zealand;8;6.3;11.5
Cyprus;CYP;H;Asia;Western Asia;7.6;5.8;20.2
United Arab Emirates;ARE;H;Asia;Western Asia;7.6;.;6.9
Spain;ESP;H;Europe;Southern Europe;7;4.2;34.3
Malta;MLT;H;Europe;Southern Europe;6.6;4.8;9.1
San Marino;SMR;H;Europe;Southern Europe;6.6;3.6;27.4
Qatar;QAT;H;Asia;Western Asia;6.5;2.7;0.4
Sint Maarten;SXM;H;Americas;Latin America and the Caribbean;6;.;.
Canada;CAN;H;Americas;Northern America;5.6;5.3;11.1
Isle of Man;IMN;H;Europe;Northern Europe;5.2;.;10.1
Sweden;SWE;H;Europe;Northern Europe;5.2;7.6;16.8
Djibouti;DJI;LM;Africa;Sub-Saharan Africa;5.1;3.6;.
Liechtenstein;LIE;H;Europe;Western Europe;4.9;2.6;.
Belgium;BEL;H;Europe;Western Europe;4.8;6.4;15.8
Saudi Arabia;SAU;H;Asia;Western Asia;4.7;.;28.8
Switzerland;CHE;H;Europe;Western Europe;4.6;5.1;7.9
Norway;NOR;H;Europe;Northern Europe;4;7.9;9.7
Gabon;GAB;UM;Africa;Sub-Saharan Africa;3.9;2.7;35.7
Ireland;IRL;H;Europe;Northern Europe;3.9;3.5;13.8
New Caledonia;NCL;H;Oceania;Melanesia;3.8;.;38.4
Austria;AUT;H;Europe;Western Europe;3.6;5.4;9.4
Iceland;ISL;H;Europe;Northern Europe;3.3;7.7;6.1
Macau;MAC;H;Asia;Eastern Asia;3.3;2.7;5.3
Italy;ITA;H;Europe;Southern Europe;3.2;4;32.2
United States;USA;H;Americas;Northern America;3;5;8.6
Botswana;BWA;UM;Africa;Sub-Saharan Africa;2.9;.;36
Denmark;DNK;H;Europe;Northern Europe;2.8;7.8;9.4
Finland;FIN;H;Europe;Northern Europe;2.6;6.4;17
United Kingdom;GBR;H;Europe;Northern Europe;2.5;5.4;11.3
Brunei;BRN;H;Asia;South-eastern Asia;2.3;4.4;28.9
Czechia;CZE;H;Europe;Eastern Europe;2.3;3.9;6.7
Jersey;JEY;.;Europe;Northern Europe;2.3;.;.
Korea, South;KOR;H;Asia;Eastern Asia;2.3;4.3;10.2
Ukraine;UKR;UM;Europe;Eastern Europe;2.3;5.4;17.9
Antigua and Barbuda;ATG;H;Americas;Latin America and the Caribbean;2.1;.;.
Israel;ISR;H;Asia;Western Asia;2.1;6.1;7.2
Guernsey;GGY;.;Europe;Northern Europe;1.9;.;.
