"","country","ISO3","continent","subcontinent","status","expenditure","youth_unempl_rate","net_migr_rate","low_yu","high_nmr"
"1","Afghanistan","AFG","Asia","Southern Asia","L",4.1,17.6,-0.1,"no","no"
"2","Albania","ALB","Europe","Southern Europe","UM",3.6,31.9,-3.3,"no","no"
"3","Algeria","DZA","Africa","Northern Africa","LM",.,39.3,-0.9,"no","no"
"4","American Samoa","ASM","Oceania","Polynesia","UM",.,.,-26.1,.,"no"
"5","Andorra","AND","Europe","Southern Europe","H",3.2,.,0,.,"no"
"6","Angola","AGO","Africa","Sub-Saharan Africa","LM",3.4,39.4,-0.2,"no","no"
"7","Anguilla","AIA","Americas","Latin America and the Caribbean",.,.,.,11.1,.,"yes"
"8","Antigua and Barbuda","ATG","Americas","Latin America and the Caribbean","H",.,.,2.1,.,"yes"
"9","Argentina","ARG","Americas","Latin America and the Caribbean","UM",5.5,23.7,-0.1,"no","no"
"10","Armenia","ARM","Asia","Western Asia","UM",2.7,36.3,-5.5,"no","no"
"11","Aruba","ABW","Americas","Latin America and the Caribbean","H",5.5,.,8.4,.,"yes"
"12","Australia","AUS","Oceania","Australia and New Zealand","H",5.1,11.8,8.1,"no","yes"
"13","Austria","AUT","Europe","Western Europe","H",5.4,9.4,3.6,"yes","no"
"14","Azerbaijan","AZE","Asia","Western Asia","UM",2.5,13.4,0,"no","no"
"15","Bahamas, The","BHS","Americas","Latin America and the Caribbean","H",.,25.8,0,"no","no"
"16","Bahrain","BHR","Asia","Western Asia","H",2.3,5.3,10.6,"yes","yes"
"17","Bangladesh","BGD","Asia","Southern Asia","LM",1.3,12.8,-3,"no","no"
"18","Barbados","BRB","Americas","Latin America and the Caribbean","H",4.4,29.6,-0.3,"no","no"
"19","Belarus","BLR","Europe","Eastern Europe","UM",4.8,10.6,0.7,"no","no"
"20","Belgium","BEL","Europe","Western Europe","H",6.4,15.8,4.8,"no","yes"
"21","Belize","BLZ","Americas","Latin America and the Caribbean","LM",7.6,15.3,-1,"no","no"
"22","Benin","BEN","Africa","Sub-Saharan Africa","LM",2.9,5.6,0.3,"yes","yes"
"23","Bermuda","BMU","Americas","Northern America","H",1.5,29.3,1.6,"no","yes"
"24","Bhutan","BTN","Asia","Southern Asia","LM",6.9,10.7,0,"no","no"
"25","Bolivia","BOL","Americas","Latin America and the Caribbean","LM",7.3,6.9,-0.3,"yes","no"
"26","Bosnia and Herzegovina","BIH","Europe","Southern Europe","UM",.,33.8,-0.4,"no","no"
